Field ID,User Interface,Description,Active,Data Type
F_2,Christianity: Frontier Group Y/N,<.1% Christian Adherents and no confirmed sustained movement.,TRUE,Boolean
F_3,Christianity: JP’s Gospel Progress Scale,"A 5 tier red to green scale ranging from Unreached - Minimally Reached, Superficially Reached, Partially Reached, and Significantly Reached. This is based on the % evangelicals and % total Christian Adherents.",TRUE,Integer
F_4,Christianity: GSEC,"Global Status of Evangelical Christianity.

[scale runs 0-6] Higher = more reached

The Global Status of Evangelical Christianity (GSEC) is a model that describes the progress of the gospel among the peoples of the world by considering:

1. The extent to which a people group is Evangelical.
2. Accessibility to the gospel.
3. Church-planting activity, whether localized or widespread, within the past two years.

 The model establishes the criteria for identifying those people groups described as ""Unreached People Groups"".",FALSE,Integer
F_5,Christianity: JP’s Least Reached Y/N,<5% Christian Adherents & <2% Evangelical,TRUE,Boolean
F_6,Christianity: Non-Evangelical Christian % of Pop.,"Does the people group in question have more than 10% of the population adhering to a non-evangelical form of Christian faith? Exclusions: do not count Christian cults. List estimated percent, eg: “7.5%”",TRUE,Double
F_7,Christianity: % Christian (All Types),"All Christian Adherents including nominal, historical, and most Christian cults, as well as evangelical.",TRUE,Double
F_8,Christianity: % Christian (Evangelical),All Evangelical Christian Adherents in a people group.,TRUE,Double
F_9,Engage: 8 Phases of Engagement,"An 8 point scale (0-7) that estimates relative progress in engagement.
0) No prior known engagement.  
1) Restart Needed
2) Gospel Proclamation →Churches
3) Believers Disciples Baptism
4) Indigenous Local Church
5) Churches 2 Gen
6) Churches Multiplying 4 Gen
7) Sustained Gospel presence 10%+",TRUE,String
F_10,Engage: Binary (Engaged / Unengaged),A binary assessment if the people group is “engaged” or “unengaged.”,TRUE,Boolean
F_11,Engage: Engagement Code: SPI (IMB),"Connects to the column SPI.
0=Unengaged and Unreached.
1=Engaged yet Unreached
2=No Longer Unreached",TRUE,Integer
F_12,Engage: Engagement Level SPI (IMB),"A single digit, three-number scale to show how the IMB categorizes them in terms of strategic importance.
[scale: 0, 1, 2] 
0=Unengaged and Unreached.
1=Engaged yet Unreached
2=No Longer Unreached",TRUE,String
F_13,Engage: Engagement Sufficiency Scale,"A 4 point scale which measures # gospel workers meeting definition of engaged by population.
1) Unengaged
2) Barely Engaged
3) Moderately Engaged
4) Sufficiently Engaged.",TRUE,String
F_14,Engage: Current Estimated # Gospel Workers,"Estimated # of gospel workers involved in evanglism, discipleship, & church planting.",TRUE,Integer
